user,date,content,replier,replied_at,replies
A Google user,"December 24, 2019",Latest version of this app has serious problems. While verifying account it is sending me verification code but it is not letting me to input the code in the app! It seems to me that the input field is totally disabled!! All the necessary permissions are already given. I think this version is not compatible with Latest android versions. U guys should fixed that quickly.,bKash Limited,"December 26, 2019",We would like to apologize for your negative experience. We would like to learn more about your specific situation and make things right. If you wouldn’t mind please contact with us at livechat.bkash.com at your earliest. We will look forward to know from you and working towards earning back your good faith.
A Google user,"October 19, 2019","The latest update is completely boring and disturbing even while I'm trying to put the pin number then the app just act as not responsive. The previous version was far better than this stupid version. I think without proper homework it is not wise to launch the new update, and please don't experiment it upon the user and don't play with our time. We don’t have enough time to be waiting for this freak! Try to solve this problem otherwise bring back the previous version. Thanks.",bKash Limited,"October 21, 2019","আমরা আন্তরিকভাবে দুঃখিত এই শুনে যে, আপনি সন্তুষ্ট নন। এই ক্ষেত্রে আপনাকে অনুরোধ করছি, বিকাশ অ্যাপ সংক্রান্ত আপনার অভিজ্ঞতাটি আমাদের support@bkash.com এ শেয়ার করুন, তাহলে আপনার উক্ত বিষয়টি নিয়ে কাজ করতে পারবো।"
A Google user,"September 28, 2019",After the update the app doesn't even go past the loading screen if i don't have my gps on. this never happened with the previous versions. and also if I tap the options likes 'buy movie tickets' the app immediately closes. I don't mind the new features and UI changes but it has to work properly which it doesn't. horrible update.,bKash Limited,"September 30, 2019",Please share us your problem at support@bkash.com or visit our Facebook fan page: www.facebook.com/bkashlimited. Also you can connect on Live Chat: https://webchat.bkash.com.
Razzak Abdur,"September 18, 2020","Hi, I am unable to see the screen. Initially I can see the pink coloured interface and after that a black screen without any option or buttons. I launched a complain but so far no update. Please be informed that I used this app before the updated version and it was working fine. However problem started with the updated version. Your immediate attention is highly appreciated. Thanks.",bKash Limited,"December 14, 2019","Please close your app from task manager, check your data connectaion or WiFi and then try again. If the problem still occurs then we request you to contact us at https://livechat.bkash.com So that we can work on it."
Shazaratul Yakin (Aditya),"July 5, 2023","For me, this is undoubtedly a five star app. It works perfectly and I've been using it for long time. But i would very much like to see fingerprint support in this app, so we can easily make transitions, and also could avoid the risk of someone seeing our pin code. It'd be more secure that.",bKash Limited,"July 5, 2023",Thanks for your awesome review and the suggestion you have come up with. Stay connected with bKash.
AL AMIN,"July 7, 2023","Added feature of opening account from multi national country is nice. But I tried to open an account from Saudi Arabia, after entering a mobile number, the system is not going to the next option, maybe the system is expecting more mobile number numbers, but we cannot enter an additional number. See this issue. Good luck to you internationally.",bKash Limited,"July 8, 2023","We are sorry to hear about your experience. We want to learn more about your specific situation and make things right. Kindly send us e-mail at support@bkash.com or to connect with our online agents, visit: https://www.bkash.com/en/help/livechat with relevant information and the account number for assistance."
Ashfaq Rahman (YouTube Not Working),"July 25, 2023","This latest update sucks. I can't recharge utility bill from last 3 months. I tried & tried but i failed. It says I have some problem & try again later but my network is much stable but when I open to use Bkash app, my network goes hampered terribly. I'm facing this problem for last 3 months. In every month I contacted their customer care to solve this issue. Today I tried to recharge my utility bill, the transaction was cancelled but take money from my account and till now it’s not returned.",,,
AR Engr Mamun,"July 2, 2023","Added feature to open account from multi national country this is excellent. But i tried to open account from Saudi arabia, After input mobile number, the system is not going next option, maybe system expecting more digits mobile number, but we can't input additional number. Please see this issue. Wish you good luck with internationally.",bKash Limited,"July 2, 2023","Your appreciation means a lot to us. We are continuously working to enrich your experience through bKash App. As you are happy with the App, if you'd like you may reconsider your rating."
Md Nure Alam Sarker,"July 2, 2023","Doesn't work from abroad due to limitation of phone number digits. Only can input 7 digits, more than that the next button just gets disabled!!! Already sent email to customer care; so far no answer yet. Now the issue turned to next level - having message saying number can't be changed. Reason given via chat is far away from reality. Anyway, I will just moved to alternative services.",bKash Limited,"June 28, 2023","Sorry for the inconvenience. Please send us an email at support@bkash.com or visit https://www.bkash.com/help/livechat to directly contact our online representative with your bKash account number and relevant details. Our concerned team will definitely try to resolve it.

"
MD Al Arman Sorker,"June 23, 2023",It is giving too much unnecessary notification. That is very annoying. If I turn off the notification of this app through the phone's setting then it will not notified me when I get any trajection. Then what to do! This is very disgusting. This app should have a feature to turn off this type of notification.,bKash Limited,"June 23, 2023","We apologize for your negative experience. If you wouldn’t mind, please send us an email at support@bkash.com or directly Contact online with our representative by tapping on this link https://www.bkash.com/help/livechat. with relevant information and your bKash account number for assistance.
"
Istiak Chowdhury Shuvo (Shuvo),"June 21, 2023","In terms of performance, the BKash app generally delivers a reliable experience. Transactions, such as sending money or paying bills, are processed swiftly, usually within seconds. The app rarely encounters technical glitches or disruptions, ensuring smooth and uninterrupted financial services. However, occasional performance optimizations and updates could further enhance the overall user experience",bKash Limited,"June 21, 2023",We appreciate you sharing your evaluation with us and are glad to hear that you had a good experience with bKash. Our team is pleased to be of service to you and really hopes that you will continue to do so.
Tanvir Roky,"June 17, 2023",Promotional notifications are irritating. There should be option to control push notifications. This app use push notifications for advertising purpose. If you want to get useful notifications like transaction you must also get all those add and promotional messages.,bKash Limited,"June 17, 2023","Thank you for your feedback. Your opinion will be considered as priority. bKash constantly brings new services, best offers, and amazing cashbacks to fulfill your needs. These offers and services are informed to you through bKash notification. If you'd like you may reconsider your rating."
Turag Dev,"July 10, 2023","It stops responding suddenly. While logging in, sending verification code seems like a joke. When the verification code is received, the time for entering the code terminates. They send the verification code in late, again do not provide sufficient time.",bKash Limited,"July 10, 2023",We apologize for the unpleasant experience. We are requesting that you share your specific situation so that we can work on it. Kindly send us e-mail at support@bkash.com or contact with us online by tapping on https://www.bkash.com/help/livechat with relevant information and your bKash account number for assistance.
Md Shoriful Islam,"May 30, 2023","I have never seen a thrid class app like this. Every time takes a huge ammount of time to open. When i'm in emergency, it can't be open. And After putting pin number it takes huge time to go a new page. In lower data connention it doesn’t work anymore.",bKash Limited,"January 6, 2020",We apologize for your experience and we appreciate your feedback. We hope for a future opportunity to make this right for you. You may contact us at livechat.bkash.com anytime to voice your concerns. So we may work with your experience.
J NAZ S,"June 7, 2023","First Of All,Thanks a Lot For Making This Useful App. It's Easy And Simple.... It's Work Fine In High-end Phone..But Here Comes a Bug..When You Use In Low-end Phone with low ram and processor.. It's Bacome So Hard Toh Use It, Lot Of Lags,,Miss Taps And Late Response..So To The Development Team Please Make It Useable For Any Devices (High-End) and (Low-end)...Keep In Mind That There ar Lot of People Who Can't Afford a Phone with High Specs.... That's it...Wish You All The Best 🥀",bKash Limited,"June 7, 2023","We feel glad to know your feedback. Stay with bKash and enjoy amazing services that we are continuously bringing to make you happy. As you are happy with the App, if you'd like you may reconsider your rating."
Emad Hussain,"July 19, 2023","ATTENTION we guys take too much time in system maintenance, which is not good some time i can't make IMPORTANT transactions. PLEASE get this fixed take short period of time for system maintenance, and why don't you guys turn off some services and keep the other ones active. Why should the whole system have to go down. This is very disappointing been noticing this for years now. Huge BUMMER 😕🙁☹️",,,
M Nayeem,"July 24, 2023","The app is not working from New Zealand. My phone number, if calling from overseas +642xxxxxxxxx or if calling within New Zealand phone number is 02xxxxxxxxx the app loads with a notification stating ""Sorry, Bkash app can only be used in Bangladesh"". Please fix this when you can.",bKash Limited,"July 24, 2023","Sorry, currently you cannot use bKash App from New Zealand. Currently bKash Account with international number will be available in 12 countries. For more details please visit: https://www.bkash.com/en/products-services/bkash-app-frn2"
Masquerading,"June 13, 2023","I can't change the language of the app,which is very frustrating. Sometimes the app glitches. The app stuck in the opening loading screen many times. Solve these issues please.",bKash Limited,"June 13, 2023",You can select the language at the beginning by clicking on the bird symbol option on the right side of opening the bKash app. For details issue kindly send us e-mail at support@bkash.com or contact with us online by tapping on https://www.bkash.com/help/livechat with relevant information and your bKash account number for assistance.
Siam Abdullah,"July 7, 2023","Start by basic things!! You are doing almost everything without even thinking how many people get scammed just by trusting online payment through this app. And you can't even get any help through police or anything because of this online system. Get a security system for yourself first! Many people get scammed a lot of money and never get them back. There should be a safe COD locker system through bkash. For after delivery, just a confirmation click there could be a safe money",,,
SHAHED ALAM,"July 14, 2023",I'm from south korea. And you app is not working on Android phone. I tried on my friends iphone. And i can type the code on his phone manually i got by message on my phone. And Android Don't has any option to type code manually. And when the code come by sms your app turn off automatically. Plz fix this bug problem for Android ASAP. I can log in to my account from my friend's phone. But i Can't log in to my phone. Lol. Bdw I use Samsund S23 Ultra for you information.,bKash Limited,"July 14, 2023","Sorry for the inconvenience. Please send us an email at support@bkash.com or visit https://www.bkash.com/help/livechat to directly contact our online representative with your bKash account number and relevant details. Our concerned team will definitely try to resolve it.

"
MD Marof,"June 28, 2023",Sir please develop and improve the application for tourist visa and update it in such a way that we can get the tourist visa from here very easily. Another special thing here is that we don't do any kind of fraud because once a fraud happens it eats the whole platform so the special thing is that we don't do any kind of fraud thank you,,,
hardwarehotel,"July 6, 2023",Didn't work for me on my android 12 phone. App does not work very well and crashes even on my first registration attempt with my phone number in English. I cannot even copy and paste my varification code! Ok this may work fine but in Bangla language only and via an older version android phone ...,bKash Limited,"July 6, 2023",We apologize for the unpleasant experience. We are requesting that you share your specific situation so that we can work on it. Kindly send us e-mail at support@bkash.com or contact with us online by tapping on https://www.bkash.com/help/livechat with relevant information and your bKash account number for assistance.
Nusrat,"July 20, 2023","The best app to use,all features are so helpful but recently I face a scanning problem.somehow my pin is locked, and when I try to scanning for reset pin it doesn't wrok.Please tell me how can I fixed it. And why this is happening? Please help me out in this issue",bKash Limited,"July 20, 2023",We apologize for the unpleasant experience. We are requesting that you share your situation so that we can work on it. Kindly send us e-mail at support@bkash.com or contact with us online by tapping on https://www.bkash.com/help/livechat with relevant information and your bKash account number for assistance.
Rifat Sultana Trina,"June 5, 2023",A humble request to the developer team to add fingerprint unlock system because a lot of time there is situation like that I have to type my password in a crowed place where there is a chance that anyone can secretly peak and see me typing password. Overall experience of using this app is satisfactory.,bKash Limited,"June 5, 2023","Thank you for your suggestion. If the service is available in the future, we hope you will find that out through our Facebook page, website (https://www.bkash.com/) or from your bKash app. And if you have liked using bKash app, we request you to reconsider your rating."
Tangina Akter Mim,"July 12, 2023",Earlier the app was working fine. But now it's totally annoying. I am not able to login to my B-kash ID since yesterday. SIM code comes. When I gave the code it says it has expired. I gave a resend and then I couldn't give the code for two hours.,bKash Limited,"July 12, 2023",Sorry for the inconvenience. Please directly Contact online with our representative by tapping on this link https://www.bkash.com/help/livechat. with relevant information and your bKash account number for assistance or email us at support@bkash.com and let us know in detail about the problem. Our concerned team will definitely try to resolve it.
Bayazid Hasan Shawon,"April 13, 2023",The send money and mobile recharge confirmation pages need to have different interfaces. Many people are accidentally recharging large amounts of money instead of sending money because the pages look the same. This problem can be easily solved by making the pages more distinct from each other. I hope the technical team will consider this issue.,bKash Limited,"April 13, 2023","We highly appreciate your feedback that you came up with. We will surely talk to our responsible team in that regard. Hopefully, your suggestion will be reflected in our next update. And if you have liked using the bKash app, we request that you reconsider your rating."
Arif Adeel Haque,"July 2, 2023","The application needs serious update specially the UI, please make this more user friendly. Please allow users to view yearly transaction, allow users to view itemized bills and payments. Also add features to hold the payment when sent to a wrong number.",bKash Limited,"July 3, 2023","Thank you for your suggestions. We will try and incorporate them upcoming versions. Please email us at support@bkash.com or contact with us online directly at ""https://www.bkash.com/help/livechat"" for assistance. We request that you reconsider your rating."
Mosharaf Hossain,"July 8, 2023","One app two policies why this?? It is good that the app can be used from abroad. But not all features can be used. By doing this, expatriates are being separated. Expatriates are not citizens of Bangladesh??",bKash Limited,"July 8, 2023",Thanks for your feedback. Currently mobile recharge and send money these two services are available for immigrant. If the other services are available you will be notified from bKash official channels.
Harley _,"April 28, 2023","Hi, kindly integrate the biometric login feature. Typing the pin everytime is very irritating on one hand and on the other hand, it's really insecure. I've to open this app multiple times in a day, needless to say, most of the time, NOT in an empty room without camera! So, please add this functionality at your earliest convenience.",bKash Limited,"April 28, 2023","Thank you for your suggestion. If the service is available in the future, we hope you will find out through our Facebook page, website (https://www.bkash.com/), or bKash app."
Umme Konika,"May 30, 2023","There was no issue first....but now it's just not working....it just keep loading and loading....I just can't get in... Edited: Hi , I have found the cause of my issue.. The app doesn't run only when it's connected to my home WiFi. My router can't make it work. Sorry for the review as I couldn't know the real issue.",bKash Limited,"May 30, 2023",We apologize for your negative experience. Requesting you to share your specific situation so that we can work on it. Please send us an email at support@bkash.com or contact with us online by tapping on the 'Live Chat' icon from our website (www.bkash.com) with relevant information and your bKash account number for assistance.
